2024-05-25 23:21:53,176 | INFO | httpro initiated
2024-05-25 23:21:55,692 | DEBUG | Success on socket receive.
2024-05-25 23:21:55,692 | DEBUG | The message does not have Content-Length header
2024-05-25 23:21:55,738 | ERROR | no query parameters
2024-05-25 23:21:55,754 | INFO | b'Got Request: /'
2024-05-25 23:21:55,880 | INFO | Request to b'/' got response of b'200 OK'
2024-05-25 23:21:56,053 | DEBUG | Success on socket receive.
2024-05-25 23:21:56,053 | DEBUG | The message does not have Content-Length header
2024-05-25 23:21:56,053 | ERROR | no query parameters
2024-05-25 23:21:56,053 | INFO | b'Got Request: /quiplash/static/css/styles.css'
2024-05-25 23:21:56,161 | INFO | Request to b'/quiplash/static/css/styles.css' got response of b'200 OK'
2024-05-25 23:21:56,350 | DEBUG | Success on socket receive.
2024-05-25 23:21:56,350 | DEBUG | The message does not have Content-Length header
2024-05-25 23:21:56,350 | ERROR | no query parameters
2024-05-25 23:21:56,366 | INFO | b'Got Request: /quiplash/static/css/index-style.css'
2024-05-25 23:21:56,491 | INFO | Request to b'/quiplash/static/css/index-style.css' got response of b'200 OK'
2024-05-25 23:21:56,617 | DEBUG | Success on socket receive.
2024-05-25 23:21:56,649 | DEBUG | The message does not have Content-Length header
2024-05-25 23:21:56,695 | ERROR | no query parameters
2024-05-25 23:21:56,695 | INFO | b'Got Request: /quiplash/static/fonts/GROBOLD.ttf'
2024-05-25 23:21:56,836 | INFO | Request to b'/quiplash/static/fonts/GROBOLD.ttf' got response of b'200 OK'
2024-05-25 23:21:57,179 | DEBUG | Success on socket receive.
2024-05-25 23:21:57,226 | DEBUG | The message does not have Content-Length header
2024-05-25 23:21:57,241 | ERROR | no query parameters
2024-05-25 23:21:57,272 | INFO | b'Got Request: /quiplash/static/imgs/favicon.ico'
2024-05-25 23:21:57,428 | INFO | Request to b'/quiplash/static/imgs/favicon.ico' got response of b'200 OK'
2024-05-25 23:21:58,770 | DEBUG | Success on socket receive.
2024-05-25 23:21:58,770 | DEBUG | The message does not have Content-Length header
2024-05-25 23:21:58,770 | ERROR | no query parameters
2024-05-25 23:21:58,770 | INFO | b'Got Request: /'
2024-05-25 23:21:58,894 | INFO | Request to b'/' got response of b'200 OK'
2024-05-25 23:21:59,080 | DEBUG | Success on socket receive.
2024-05-25 23:21:59,080 | DEBUG | The message does not have Content-Length header
2024-05-25 23:21:59,080 | ERROR | no query parameters
2024-05-25 23:21:59,127 | INFO | b'Got Request: /quiplash/static/css/index-style.css'
2024-05-25 23:21:59,251 | INFO | Request to b'/quiplash/static/css/index-style.css' got response of b'200 OK'
2024-05-25 23:21:59,440 | DEBUG | Success on socket receive.
2024-05-25 23:21:59,440 | DEBUG | The message does not have Content-Length header
2024-05-25 23:21:59,440 | ERROR | no query parameters
2024-05-25 23:21:59,440 | INFO | b'Got Request: /quiplash/static/css/styles.css'
2024-05-25 23:21:59,613 | INFO | Request to b'/quiplash/static/css/styles.css' got response of b'200 OK'
2024-05-25 23:21:59,753 | DEBUG | Success on socket receive.
2024-05-25 23:21:59,753 | DEBUG | The message does not have Content-Length header
2024-05-25 23:21:59,753 | ERROR | no query parameters
2024-05-25 23:21:59,753 | INFO | b'Got Request: /quiplash/static/imgs/favicon.ico'
2024-05-25 23:21:59,894 | INFO | Request to b'/quiplash/static/imgs/favicon.ico' got response of b'200 OK'
2024-05-25 23:22:00,035 | DEBUG | Success on socket receive.
2024-05-25 23:22:00,035 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:00,035 | ERROR | no query parameters
2024-05-25 23:22:00,035 | INFO | b'Got Request: /quiplash/static/fonts/GROBOLD.ttf'
2024-05-25 23:22:00,146 | INFO | Request to b'/quiplash/static/fonts/GROBOLD.ttf' got response of b'200 OK'
2024-05-25 23:22:03,054 | DEBUG | Success on socket receive.
2024-05-25 23:22:03,085 | ERROR | no query parameters
2024-05-25 23:22:03,116 | INFO | b'Got Request: /username'
2024-05-25 23:22:03,148 | INFO | Request to b'/username' got response of b'200 OK'
2024-05-25 23:22:03,587 | DEBUG | Success on socket receive.
2024-05-25 23:22:03,618 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:03,650 | ERROR | no query parameters
2024-05-25 23:22:03,728 | INFO | b'Got Request: /waiting-lounge.html'
2024-05-25 23:22:03,839 | INFO | Request to b'/waiting-lounge.html' got response of b'200 OK'
2024-05-25 23:22:04,279 | DEBUG | Success on socket receive.
2024-05-25 23:22:04,326 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:04,342 | ERROR | no query parameters
2024-05-25 23:22:04,405 | INFO | b'Got Request: /quiplash/static/css/default-page.css'
2024-05-25 23:22:04,529 | INFO | Request to b'/quiplash/static/css/default-page.css' got response of b'200 OK'
2024-05-25 23:22:04,685 | DEBUG | Success on socket receive.
2024-05-25 23:22:04,701 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:04,795 | ERROR | no query parameters
2024-05-25 23:22:04,810 | INFO | b'Got Request: /quiplash/static/css/styles.css'
2024-05-25 23:22:04,904 | INFO | Request to b'/quiplash/static/css/styles.css' got response of b'200 OK'
2024-05-25 23:22:05,188 | DEBUG | Success on socket receive.
2024-05-25 23:22:05,188 | ERROR | no query parameters
2024-05-25 23:22:05,234 | INFO | b'Got Request: /username'
2024-05-25 23:22:05,266 | INFO | Request to b'/username' got response of b'200 OK'
2024-05-25 23:22:05,376 | DEBUG | Success on socket receive.
2024-05-25 23:22:05,423 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:05,439 | ERROR | no query parameters
2024-05-25 23:22:05,470 | INFO | b'Got Request: /waiting-lounge.html'
2024-05-25 23:22:05,597 | INFO | Request to b'/waiting-lounge.html' got response of b'200 OK'
2024-05-25 23:22:05,660 | DEBUG | Success on socket receive.
2024-05-25 23:22:05,660 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:05,676 | ERROR | no query parameters
2024-05-25 23:22:05,676 | INFO | b'Got Request: /quiplash/static/fonts/GROBOLD.ttf'
2024-05-25 23:22:05,786 | INFO | Request to b'/quiplash/static/fonts/GROBOLD.ttf' got response of b'200 OK'
2024-05-25 23:22:05,974 | DEBUG | Success on socket receive.
2024-05-25 23:22:06,004 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:06,036 | ERROR | no query parameters
2024-05-25 23:22:06,036 | INFO | b'Got Request: /did-start'
2024-05-25 23:22:06,115 | INFO | Request to b'/did-start' got response of b'200 OK'
2024-05-25 23:22:06,225 | DEBUG | Success on socket receive.
2024-05-25 23:22:06,225 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:06,225 | ERROR | no query parameters
2024-05-25 23:22:06,225 | INFO | b'Got Request: /quiplash/static/imgs/favicon.ico'
2024-05-25 23:22:06,335 | INFO | Request to b'/quiplash/static/imgs/favicon.ico' got response of b'200 OK'
2024-05-25 23:22:06,398 | DEBUG | Success on socket receive.
2024-05-25 23:22:06,398 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:06,398 | ERROR | no query parameters
2024-05-25 23:22:06,413 | INFO | b'Got Request: /quiplash/static/css/default-page.css'
2024-05-25 23:22:06,461 | INFO | Request to b'/quiplash/static/css/default-page.css' got response of b'200 OK'
2024-05-25 23:22:06,632 | DEBUG | Success on socket receive.
2024-05-25 23:22:06,632 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:06,632 | ERROR | no query parameters
2024-05-25 23:22:06,648 | INFO | b'Got Request: /quiplash/static/css/styles.css'
2024-05-25 23:22:06,820 | INFO | Request to b'/quiplash/static/css/styles.css' got response of b'200 OK'
2024-05-25 23:22:06,898 | DEBUG | Success on socket receive.
2024-05-25 23:22:06,930 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:06,978 | ERROR | no query parameters
2024-05-25 23:22:06,978 | INFO | b'Got Request: /sentence-input.html'
2024-05-25 23:22:07,088 | INFO | Request to b'/sentence-input.html' got response of b'200 OK'
2024-05-25 23:22:07,167 | DEBUG | Success on socket receive.
2024-05-25 23:22:07,214 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:07,214 | ERROR | no query parameters
2024-05-25 23:22:07,214 | INFO | b'Got Request: /quiplash/static/css/sentence-input.css'
2024-05-25 23:22:07,324 | INFO | Request to b'/quiplash/static/css/sentence-input.css' got response of b'200 OK'
2024-05-25 23:22:07,481 | DEBUG | Success on socket receive.
2024-05-25 23:22:07,481 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:07,481 | ERROR | no query parameters
2024-05-25 23:22:07,481 | INFO | b'Got Request: /quiplash/static/fonts/GROBOLD.ttf'
2024-05-25 23:22:07,575 | INFO | Request to b'/quiplash/static/fonts/GROBOLD.ttf' got response of b'200 OK'
2024-05-25 23:22:07,795 | DEBUG | Success on socket receive.
2024-05-25 23:22:07,795 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:07,795 | ERROR | no query parameters
2024-05-25 23:22:07,811 | INFO | b'Got Request: /did-start'
2024-05-25 23:22:07,811 | INFO | Request to b'/did-start' got response of b'200 OK'
2024-05-25 23:22:07,904 | DEBUG | Success on socket receive.
2024-05-25 23:22:07,904 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:07,904 | ERROR | no query parameters
2024-05-25 23:22:07,904 | INFO | b'Got Request: /quiplash/static/css/styles.css'
2024-05-25 23:22:07,983 | INFO | Request to b'/quiplash/static/css/styles.css' got response of b'200 OK'
2024-05-25 23:22:08,062 | DEBUG | Success on socket receive.
2024-05-25 23:22:08,062 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:08,062 | ERROR | no query parameters
2024-05-25 23:22:08,062 | INFO | b'Got Request: /quiplash/static/css/timer.css'
2024-05-25 23:22:08,109 | INFO | Request to b'/quiplash/static/css/timer.css' got response of b'200 OK'
2024-05-25 23:22:08,235 | DEBUG | Success on socket receive.
2024-05-25 23:22:08,266 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:08,298 | ERROR | no query parameters
2024-05-25 23:22:08,314 | INFO | b'Got Request: /quiplash/static/fonts/GROBOLD.ttf'
2024-05-25 23:22:08,409 | INFO | Request to b'/quiplash/static/fonts/GROBOLD.ttf' got response of b'200 OK'
2024-05-25 23:22:08,503 | DEBUG | Success on socket receive.
2024-05-25 23:22:08,534 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:08,534 | ERROR | no query parameters
2024-05-25 23:22:08,549 | INFO | b'Got Request: /sentence-input.html'
2024-05-25 23:22:08,675 | INFO | Request to b'/sentence-input.html' got response of b'200 OK'
2024-05-25 23:22:08,862 | DEBUG | Success on socket receive.
2024-05-25 23:22:08,877 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:08,877 | ERROR | no query parameters
2024-05-25 23:22:08,940 | INFO | b'Got Request: /quiplash/static/imgs/favicon.ico'
2024-05-25 23:22:09,050 | INFO | Request to b'/quiplash/static/imgs/favicon.ico' got response of b'200 OK'
2024-05-25 23:22:09,114 | DEBUG | Success on socket receive.
2024-05-25 23:22:09,129 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:09,161 | ERROR | no query parameters
2024-05-25 23:22:09,208 | INFO | b'Got Request: /quiplash/static/css/sentence-input.css'
2024-05-25 23:22:09,286 | INFO | Request to b'/quiplash/static/css/sentence-input.css' got response of b'200 OK'
2024-05-25 23:22:09,349 | DEBUG | Success on socket receive.
2024-05-25 23:22:09,349 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:09,349 | ERROR | no query parameters
2024-05-25 23:22:09,349 | INFO | b'Got Request: /get-sentence'
2024-05-25 23:22:09,364 | INFO | Request to b'/get-sentence' got response of b'200 OK'
2024-05-25 23:22:09,396 | DEBUG | Success on socket receive.
2024-05-25 23:22:09,396 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:09,396 | ERROR | no query parameters
2024-05-25 23:22:09,396 | INFO | b'Got Request: /quiplash/static/imgs/favicon.ico'
2024-05-25 23:22:09,663 | INFO | Request to b'/quiplash/static/imgs/favicon.ico' got response of b'200 OK'
2024-05-25 23:22:09,804 | DEBUG | Success on socket receive.
2024-05-25 23:22:09,836 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:09,867 | ERROR | no query parameters
2024-05-25 23:22:09,898 | INFO | b'Got Request: /quiplash/static/css/timer.css'
2024-05-25 23:22:10,040 | INFO | Request to b'/quiplash/static/css/timer.css' got response of b'200 OK'
2024-05-25 23:22:10,103 | DEBUG | Success on socket receive.
2024-05-25 23:22:10,103 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:10,103 | ERROR | no query parameters
2024-05-25 23:22:10,103 | INFO | b'Got Request: /quiplash/static/css/styles.css'
2024-05-25 23:22:10,166 | INFO | Request to b'/quiplash/static/css/styles.css' got response of b'200 OK'
2024-05-25 23:22:10,569 | DEBUG | Success on socket receive.
2024-05-25 23:22:10,569 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:10,569 | ERROR | no query parameters
2024-05-25 23:22:10,569 | INFO | b'Got Request: /quiplash/static/fonts/GROBOLD.ttf'
2024-05-25 23:22:10,740 | INFO | Request to b'/quiplash/static/fonts/GROBOLD.ttf' got response of b'200 OK'
2024-05-25 23:22:10,882 | DEBUG | Success on socket receive.
2024-05-25 23:22:10,882 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:10,882 | ERROR | no query parameters
2024-05-25 23:22:10,928 | INFO | b'Got Request: /get-sentence'
2024-05-25 23:22:10,944 | INFO | Request to b'/get-sentence' got response of b'200 OK'
2024-05-25 23:22:11,196 | DEBUG | Success on socket receive.
2024-05-25 23:22:11,196 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:11,196 | ERROR | no query parameters
2024-05-25 23:22:11,196 | INFO | b'Got Request: /quiplash/static/imgs/favicon.ico'
2024-05-25 23:22:11,243 | INFO | Request to b'/quiplash/static/imgs/favicon.ico' got response of b'200 OK'
2024-05-25 23:22:18,506 | DEBUG | Success on socket receive.
2024-05-25 23:22:18,568 | ERROR | no query parameters
2024-05-25 23:22:18,599 | INFO | b'Got Request: /submit'
2024-05-25 23:22:18,631 | INFO | Request to b'/submit' got response of b'200 OK'
2024-05-25 23:22:18,662 | DEBUG | no headers found
2024-05-25 23:22:19,181 | DEBUG | Success on socket receive.
2024-05-25 23:22:19,181 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:19,181 | ERROR | no query parameters
2024-05-25 23:22:19,181 | INFO | b'Got Request: /start-vote'
2024-05-25 23:22:19,181 | INFO | Request to b'/start-vote' got response of b'200 OK'
2024-05-25 23:22:20,815 | DEBUG | Success on socket receive.
2024-05-25 23:22:20,846 | ERROR | no query parameters
2024-05-25 23:22:20,877 | INFO | b'Got Request: /submit'
2024-05-25 23:22:20,941 | INFO | Request to b'/submit' got response of b'200 OK'
2024-05-25 23:22:20,956 | DEBUG | no headers found
2024-05-25 23:22:21,098 | DEBUG | Success on socket receive.
2024-05-25 23:22:21,098 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:21,098 | ERROR | no query parameters
2024-05-25 23:22:21,098 | INFO | b'Got Request: /start-vote'
2024-05-25 23:22:21,239 | INFO | Request to b'/start-vote' got response of b'200 OK'
2024-05-25 23:22:21,349 | DEBUG | Success on socket receive.
2024-05-25 23:22:21,349 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:21,349 | ERROR | no query parameters
2024-05-25 23:22:21,349 | INFO | b'Got Request: /vote.html'
2024-05-25 23:22:21,570 | INFO | Request to b'/vote.html' got response of b'200 OK'
2024-05-25 23:22:21,992 | DEBUG | Success on socket receive.
2024-05-25 23:22:22,023 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:22,055 | ERROR | no query parameters
2024-05-25 23:22:22,086 | INFO | b'Got Request: /quiplash/static/css/vote-styles.css'
2024-05-25 23:22:22,196 | INFO | Request to b'/quiplash/static/css/vote-styles.css' got response of b'200 OK'
2024-05-25 23:22:22,275 | DEBUG | Success on socket receive.
2024-05-25 23:22:22,337 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:22,337 | ERROR | no query parameters
2024-05-25 23:22:22,337 | INFO | b'Got Request: /quiplash/static/css/default-page.css'
2024-05-25 23:22:22,477 | INFO | Request to b'/quiplash/static/css/default-page.css' got response of b'200 OK'
2024-05-25 23:22:22,556 | DEBUG | Success on socket receive.
2024-05-25 23:22:22,587 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:22,619 | ERROR | no query parameters
2024-05-25 23:22:22,634 | INFO | b'Got Request: /quiplash/static/css/styles.css'
2024-05-25 23:22:22,681 | INFO | Request to b'/quiplash/static/css/styles.css' got response of b'200 OK'
2024-05-25 23:22:22,759 | DEBUG | Success on socket receive.
2024-05-25 23:22:22,790 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:22,806 | ERROR | no query parameters
2024-05-25 23:22:22,806 | INFO | b'Got Request: /start-vote'
2024-05-25 23:22:22,852 | INFO | Request to b'/start-vote' got response of b'200 OK'
2024-05-25 23:22:22,962 | DEBUG | Success on socket receive.
2024-05-25 23:22:22,962 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:23,009 | ERROR | no query parameters
2024-05-25 23:22:23,040 | INFO | b'Got Request: /vote.html'
2024-05-25 23:22:23,290 | INFO | Request to b'/vote.html' got response of b'200 OK'
2024-05-25 23:22:23,524 | DEBUG | Success on socket receive.
2024-05-25 23:22:23,524 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:23,540 | ERROR | no query parameters
2024-05-25 23:22:23,540 | INFO | b'Got Request: /quiplash/static/fonts/GROBOLD.ttf'
2024-05-25 23:22:23,618 | INFO | Request to b'/quiplash/static/fonts/GROBOLD.ttf' got response of b'200 OK'
2024-05-25 23:22:23,743 | DEBUG | Success on socket receive.
2024-05-25 23:22:23,774 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:23,806 | ERROR | no query parameters
2024-05-25 23:22:23,837 | INFO | b'Got Request: /quiplash/static/imgs/favicon.ico'
2024-05-25 23:22:23,978 | INFO | Request to b'/quiplash/static/imgs/favicon.ico' got response of b'200 OK'
2024-05-25 23:22:24,104 | DEBUG | Success on socket receive.
2024-05-25 23:22:24,104 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:24,104 | ERROR | no query parameters
2024-05-25 23:22:24,135 | INFO | b'Got Request: /quiplash/static/css/vote-styles.css'
2024-05-25 23:22:24,198 | INFO | Request to b'/quiplash/static/css/vote-styles.css' got response of b'200 OK'
2024-05-25 23:22:24,371 | DEBUG | Success on socket receive.
2024-05-25 23:22:24,371 | DEBUG | The message does not have Content-Length header
2024-05-25 23:22:24,403 | ERROR | no query parameters
